,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Akademickie Mistrzostwa Polski 02-06-2014 – 05.06.2014 Wilkasy,,,,,,,,,
KLASYFIKACJA INDYWIDUALNA,,,,,,,,,
M,"jacht
nr",Sternik,Uczelnia,typ,wyścig nr,,,,Suma
,,,,,I,II,III,IV,
1,34,Sadowski Tymon,PG Gdańsk,UTE,2,9*,1,1,4
2,35,Richter Patryk,PG Gdańsk,UTE,1,1,2,3*,4
3,36,Królik Krzysztof,AWF Warszawa,UWF,5,11*,4,2,11
4,41,Szyfter Ewa,PP Poznań,UTE,6,4,7*,4,14
5,45,Plichta Sławomir,PG Gdańsk,UTE,3,2,13*,10,15
6,50,Markiewicz Michał,PRz Rzeszów,UTE,7*,3,6,6,15
7,25,Zemke Wojciech,UG Gdańsk,UNI,8,5,17*,7,20
8,44,Domański Jan,SGH Warszawa,USP,12,23*,5,6,23
9,42,Tkacz Szymon,PRz Rzeszów,UTE,4,64*,15,8,27
10,19,Czarnecki Maciej,PP Poznań,UTE,21*,13,10,9,32
11,29,Michalczyk Bartłomiej,UWM Olsztyn,UNI,9,12,12,64*,33
12,17,Chamier Cieminski Wojciech,SGH Warszawa,USP,11,15,8,64*,34
13,22,Goździk Grzegorz,UG Gdańsk,UNI,64*,14,16,5,35
14,43,Zabłocka Anna,UAM Poznań,UNI,16,22*,9,11,36
15,6,Banasik Bartłomiej,UWM Olsztyn,UNI,25*,10,14,14,38
16,13,Ilska Ewa,SGH Warszawa,USP,10,16,20*,15,41
17,60,Ginter Grzegorz,CM UJ Kraków,UME,17*,17,11,13,41
18,47,Litwicka Karolina,PRz Rzeszów,UTE,15,7,23,27*,45
19,30,Beniamin Piksa,AWF Katowice,UWF,13,29*,25,12,50
20,54,Żak Michał,UW Warszawa,UNI,14,20,21*,16,50
21,20,Czerwiński Jerzy,UMCS Lublin,UNI,64*,8,22,23,53
22,39,Kuszka Rafał,PŚ Gliwice,UTE,19,19,30*,22,60
23,1,Tyszecki Paweł,CM UJ Kraków,UME,22,21,19,29*,62
24,33,Komosiński Marcin,PG Gdańsk,UTE,24,26*,24,17,65
25,49,Wierzbicka Natalia,PP Poznań,UTE,20,24,26*,24,68
26,32,Fonferko Maciej,PŁ Łódź,UTE,26,18,43*,26,70
27,21,Filipowicz Przemysław,UG Gdańsk,UNI,64*,6,3,64,73
28,48,Sałapata Przemysław,PP Poznań,UTE,18,30*,28,30,76
29,24,Chomicz Maurycy,UAM Poznań,UNI,28,31*,18,31,77
30,53,Chachuła Piotr,PŁ Łódź,UTE,27,64*,31,19,77
31,26,Łożyński Adam,WAT Warszawa,USP,23,34,38*,20,77
32,8,Graczyk Igor,UE Poznań,USP,31,25,34*,21,77
33,23,Byrski Mateusz,ATH Bielsko-Biała,UTE,29,32,47*,25,86
34,46,Drowanowski Adam,SGGW Warszawa,USP,34*,28,33,28,89
35,31,Starzyński Michał,AWF Katowice,UWF,44,64*,29,18,91
36,37,Pyka Karol,PŚ Gliwice,UTE,33,33,27,53*,93
37,11,Winiarczyk Janusz,UMCS Lublin,UNI,37*,27,35,35,97
38,4,Francuz Tomasz,AGH Kraków,UTE,35,64*,32,36,103
39,56,Domański Jakub,UMCS Lublin,UNI,36,64*,37,34,107
40,38,Białuski Karol,PŚ Gliwice,UTE,30,64*,36,42,108
41,2,Dolder Przemysław,CM UJ Kraków,UME,32,36,42,49*,110
42,27,Taraur Marek,WAT Warszawa,USP,38,64*,41,32,111
43,18,Skowroński Jarosław,WUM Warszawa,UME,64*,35,39,40,114
44,52,Zeifert Piotr,UE Katowice,USP,39,64*,52,39,130
45,9,Drzewiecki Janusz,PWSZ Piła,WSZ,40,64*,46,48,134
46,57,Gileta Iwona,SGGW Warszawa,USP,64*,64,40,33,137
47,10,Antoniak Piotr,UŁ Łódź,UNI,41,64*,54,43,138
48,16,Dobrzyński Arkadiusz,UAM Poznań,UNI,45,64*,53,41,139
49,15,Szymański Robert,PWSZ Konin,WSZ,46,64*,49,44,139
,,,,,,,,,
ATMOSFERA ZABAWA SPORT,,,,,,,,,
Akademicki Związek Sportowy Środowisko Warszawa,,,,,,,,,
www.azs.waw.pl,,,,,,,,,
